A	Coef	t	p.value	p.value.adj	F	F.p.value	group2 - group1
9.44	0.149	0.16	0.88085	1	0.03	0.88085	0
7.09	0.403	2.28	0.09025	1	5.21	0.09025	0
5.83	0.045	0.25	0.81535	1	0.06	0.81535	0
8.01	0.085	0.37	0.72917	1	0.14	0.72917	0
3.53	0.202	1.24	0.2895	1	1.53	0.2895	0
6.5	0.054	0.17	0.87748	1	0.03	0.87748	0
5.02	-0.072	-0.44	0.68706	1	0.19	0.68706	0
4.61	0.087	0.47	0.66348	1	0.22	0.66348	0
5.3	2.174	4.87	0.0101	1	23.7	0.0101	0
3.33	0.107	0.49	0.64903	1	0.24	0.64903	0
7.35	1.756	4.67	0.01155	1	21.82	0.01155	0
7.52	-0.22	-0.38	0.72772	1	0.14	0.72772	0
6.22	0.124	0.44	0.6875	1	0.19	0.6875	0
8.45	-0.307	-0.41	0.70592	1	0.17	0.70592	0
7.49	-0.246	-0.52	0.63397	1	0.27	0.63397	0
6.86	-0.006	-0.02	0.98277	1	0	0.98277	0
5.37	0.331	1.65	0.17995	1	2.73	0.17995	0
4.87	-0.064	-0.41	0.70576	1	0.17	0.70576	0
8.76	0.415	2.08	0.11145	1	4.34	0.11145	0
6.38	-0.758	-4.35	0.01456	1	18.9	0.01456	0
9.23	-0.388	-1.32	0.26344	1	1.74	0.26344	0
10.06	-0.731	-1.95	0.12937	1	3.79	0.12937	0
11.38	0.356	1.59	0.19222	1	2.54	0.19222	0
11.57	-0.258	-0.64	0.55696	1	0.42	0.55696	0
10.23	-0.246	-0.88	0.43363	1	0.77	0.43363	0
9.75	0.231	0.81	0.46685	1	0.66	0.46685	0
10.52	-0.709	-2.58	0.06639	1	6.66	0.06639	0
10.31	-0.034	-0.12	0.90984	1	0.01	0.90984	0
8.79	0.304	1.04	0.36249	1	1.08	0.36249	0
10.09	-0.696	-3.64	0.02526	1	13.25	0.02526	0
11.07	-0.215	-0.74	0.50276	1	0.55	0.50276	0
8.6	0.167	0.36	0.73642	1	0.13	0.73642	0
11.59	-0.485	-2.02	0.1198	1	4.07	0.1198	0
11.45	0.49	1.27	0.27924	1	1.61	0.27924	0
9.21	-0.232	-0.87	0.437	1	0.76	0.437	0
8.79	-0.629	-1.35	0.25477	1	1.81	0.25477	0
11.23	-0.363	-1.8	0.15199	1	3.25	0.15199	0
11.26	0.434	2.76	0.05546	1	7.64	0.05546	0
11.99	-0.07	-0.25	0.81859	1	0.06	0.81859	0
11.65	0.115	0.68	0.53741	1	0.46	0.53741	0
8.76	-0.239	-0.65	0.55543	1	0.42	0.55543	0
12.66	0.023	0.12	0.91006	1	0.01	0.91006	0
11.62	-0.107	-0.46	0.67047	1	0.21	0.67047	0
9.77	-0.529	-3.2	0.03677	1	10.27	0.03677	0
12	-0.193	-0.39	0.71864	1	0.15	0.71864	0
11.75	0.202	1.21	0.29814	1	1.46	0.29814	0
11.65	0.086	0.38	0.72214	1	0.15	0.72214	0
9.5	-1.095	-2.71	0.05843	1	7.35	0.05843	0
9.46	-0.041	-0.1	0.92663	1	0.01	0.92663	0
12.32	-0.759	-1	0.37837	1	1	0.37837	0
11.03	-0.473	-3.05	0.04247	1	9.28	0.04247	0
12.1	0.071	0.31	0.77308	1	0.1	0.77308	0
11.34	0.046	0.19	0.85772	1	0.04	0.85772	0
10.09	0.171	0.93	0.41059	1	0.86	0.41059	0
11.16	-0.015	-0.07	0.9481	1	0	0.9481	0
8.68	-0.224	-0.59	0.58666	1	0.35	0.58666	0
11.18	-0.073	-0.34	0.75383	1	0.11	0.75383	0
8.75	0.07	0.23	0.83322	1	0.05	0.83322	0
11.21	-0.631	-1.4	0.24088	1	1.95	0.24088	0
9.84	0.61	1.73	0.16473	1	2.99	0.16473	0
9.33	-0.467	-2.28	0.09084	1	5.18	0.09084	0
10.08	-0.351	-1.18	0.30903	1	1.39	0.30903	0
8.88	0.194	0.77	0.48796	1	0.59	0.48796	0
10.25	-0.398	-1.94	0.13099	1	3.75	0.13099	0
9.35	0.067	0.31	0.77584	1	0.09	0.77584	0
